id,name,password,stocks1,stocks2,stocks3,stocks4,stocks5,stocks6,stocks7,stocks8,stocks9,stocks10,stocks11,stocks12,stocks13,stocks14,stocks15,amount_left,ini_amount
1,CS1,123inv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
2,CS2,123inv2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
3,CS3,123inv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
4,CS4,123inv4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
5,CS5,123inv5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
6,CS6,123inv6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
7,CS7,123inv7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
8,CS8,123inv8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
9,CS9,123inv9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
10,CS10,123inv10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
11,CS11,123inv11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
12,CS12,123inv12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
13,CS13,123inv13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
14,CS14,123inv14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
15,CS15,123inv15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.0,4000.0
